user_id,item_id,cate_id,time_stamp
0,1,1,909
0,2,2,909
0,3,3,909
0,4,4,909
0,5,5,912
0,6,6,912
0,7,7,912
0,8,7,912
0,9,8,1010
0,10,7,1111
0,11,7,1111
1,12,9,817
1,13,10,817
1,14,11,817
1,15,12,922
1,16,13,922
1,17,13,922
1,18,12,922
1,19,13,922
1,20,12,922
1,21,12,922
1,22,13,922
1,23,14,1013
1,24,14,1013
1,25,15,1013
1,26,16,1111
1,27,17,1111
1,28,18,1111
1,29,19,1111
1,30,20,1111
2,31,21,826
2,32,22,826
2,14,11,826
2,33,23,910
2,34,24,910
2,35,10,910
2,36,24,910
2,37,24,910
2,14,11,910
2,38,25,924
2,39,25,1111
2,20,12,1111
2,40,26,1111
3,41,27,603
3,42,28,603
3,43,29,603
3,44,30,603
3,45,31,603
3,46,32,724
3,47,33,724
3,48,32,724
3,49,34,724
3,9,8,1010
4,50,35,830
4,51,36,830
4,52,35,830
4,53,37,830
4,54,36,830
4,55,35,830
4,56,36,830
4,57,38,905
4,58,39,905
4,59,36,905
4,60,5,905
4,61,40,905
4,62,41,905
4,63,42,909
4,64,43,909
4,65,44,909
4,66,45,909
4,67,46,909
4,68,47,925
4,69,12,925
4,70,48,1111
4,71,49,1111
4,72,7,1111
4,73,25,1111
5,74,50,517
5,75,51,517
5,76,13,517
5,77,50,626
5,74,50,626
5,76,13,626
5,77,50,627
5,74,50,627
5,76,13,627
5,78,52,830
5,79,50,830
5,80,52,830
5,81,53,830
5,82,54,1001
5,83,55,1001
5,84,56,1001
5,85,56,1001
5,86,57,1111
6,87,13,529
6,88,52,529
6,89,58,529
6,87,13,602
6,90,52,602
6,88,52,602
6,91,59,805
6,92,55,805
6,93,60,1111
6,94,50,1111
6,95,47,1111
6,96,47,1111
6,97,61,1111
6,98,47,1111
6,99,55,1111
7,100,62,608
7,101,63,608
7,102,62,608
7,103,62,620
7,104,62,620
7,105,62,620
7,101,63,620
7,106,55,909
7,107,55,909
8,108,64,514
8,109,65,514
8,110,66,514
8,111,67,514
8,112,68,514
8,113,69,813
8,114,70,813
8,115,69,813
8,116,71,909
8,117,51,909
9,118,33,617
9,119,33,617
9,120,72,617
9,121,32,617
9,122,33,720
9,118,33,720
9,120,72,720
9,120,72,1111
9,123,73,1111
9,121,32,1111
9,124,33,1111
9,125,73,1111
10,126,53,601
10,127,74,601
10,128,56,601
10,129,55,902
10,130,53,902
10,131,55,902
10,132,12,1004
10,133,12,1004
10,134,12,1004
10,135,50,1111
10,136,43,1111
10,137,50,1111
10,138,75,1111
11,139,13,529
11,140,13,529
11,141,53,529
11,142,50,529
11,143,8,1018
11,144,8,1018
11,145,76,1018
11,146,8,1018
11,147,12,1105
12,148,33,1021
12,149,77,1021
12,150,34,1021
12,151,73,1021
12,152,57,1028
12,153,78,1028
12,154,1,1028
12,155,79,1028
12,156,80,1028
12,157,81,1028
12,158,82,1029
12,159,73,1111
13,160,83,626
13,161,84,626
13,162,62,626
13,163,85,626
13,164,86,626
13,165,63,1010
13,166,87,1010
13,167,62,1010
13,168,1,1020
13,169,1,1020
13,170,1,1020
13,171,1,1020
14,172,88,604
14,173,88,604
14,174,89,604
14,174,89,606
14,175,88,606
14,176,89,606
14,177,90,825
14,29,19,1111
15,178,57,527
15,179,57,527
15,180,79,527
15,181,91,628
15,182,45,628
15,183,46,628
15,184,92,715
15,185,93,715
15,186,35,715
15,187,27,913
16,188,1,831
16,171,1,831
16,189,1,831
16,190,1,831
16,191,1,831
16,154,1,831
16,192,1,904
16,190,1,904
16,193,1,904
16,194,1,904
16,195,1,917
16,196,1,917
16,190,1,917
16,197,1,920
16,198,1,920
16,190,1,920
16,196,1,920
16,196,1,922
16,199,1,922
16,200,1,922
16,190,1,922
16,201,1,923
16,202,1,923
16,190,1,923
16,154,1,925
16,203,1,925
16,204,1,925
16,204,1,929
16,205,1,929
16,171,1,929
16,206,34,1111
16,207,32,1111
17,208,82,515
17,209,82,515
17,210,82,515
17,211,94,515
17,212,95,519
17,213,95,519
17,214,95,519
17,215,52,523
17,216,52,523
18,217,13,514
18,218,96,514
18,219,13,514
18,220,13,514
18,221,97,514
18,222,13,607
18,223,13,607
18,224,98,607
18,225,99,607
18,226,57,619
18,227,100,619
18,228,101,619
18,229,102,828
18,230,102,828
18,231,50,1111
19,232,57,520
19,233,57,520
19,234,103,520
19,235,104,520
19,236,105,520
19,237,77,718
19,238,80,718
19,239,80,718
19,240,80,718
19,241,80,718
19,242,80,718
19,243,106,814
19,244,107,814
19,245,108,814
19,246,109,814
19,247,33,1111
19,125,73,1111
19,248,33,1111
19,249,110,1111
20,250,57,710
20,251,57,710
20,252,57,710
20,253,79,710
20,254,79,710
20,255,111,719
20,256,111,719
20,257,111,719
20,258,112,926
20,259,112,926
20,260,112,926
20,261,113,1012
21,262,45,905
21,263,13,905
21,264,50,905
21,265,114,905
21,266,30,908
21,267,115,908
21,268,85,908
21,269,87,908
21,270,87,908
21,271,116,928
21,272,117,928
21,273,96,928
21,274,118,1011
21,275,54,1111
21,276,1,1111
22,277,34,625
22,278,33,625
22,279,119,625
22,280,78,625
22,281,120,625
22,282,16,722
22,283,121,722
22,284,122,722
